,timestamp,open,high,low,close,volume,RSI_14,sma_7,RSI_Trend,ub,mb,lb,ub_tren,lb_tren,3_ub_point,3_lb_point,divergence_angle,divergence_col
99,2020-04-20 12:45:00,1212.5,1215.5,1210.5,1212.3,210815,0.0,0.0,,,,,,,"nan,nan,nan","nan,nan,nan",,
98,2020-04-20 13:00:00,1212.1,1217.5,1212.1,1215.65,199090,100.0,0.0,100.0,,,,,,"nan,nan,nan","nan,nan,nan",,
97,2020-04-20 13:15:00,1215.65,1221.5,1215.55,1219.25,296820,100.0,0.0,0.0,,,,,,"nan,nan,nan","nan,nan,nan",,
96,2020-04-20 13:30:00,1219.34,1222.36,1216.85,1221.69,243910,100.0,0.0,0.0,,,,,,"nan,nan,nan","nan,nan,nan",,
95,2020-04-20 13:45:00,1221.9,1238.7,1221.65,1230.1,1496435,100.0,0.0,0.0,,,,,,"nan,nan,nan","nan,nan,nan",,
94,2020-04-20 14:00:00,1230.65,1246.35,1229.0,1242.9,867391,100.0,0.0,0.0,,,,,,"nan,nan,nan","nan,nan,nan",,
93,2020-04-20 14:15:00,1242.0,1254.8,1241.5,1253.45,1221671,100.0,1227.9057142857143,0.0,,,,,,"nan,nan,nan","nan,nan,nan",,
92,2020-04-20 14:30:00,1253.59,1257.73,1246.22,1248.54,937563,92.65424044270182,1233.0828571428574,-7.34575955729818,,,,,,"nan,nan,nan","nan,nan,nan",,
91,2020-04-20 14:45:00,1248.3,1248.8,1237.55,1242.3,862325,84.19005299517825,1236.89,-8.464187447523571,,,,,,"nan,nan,nan","nan,nan,nan",,
90,2020-04-20 15:00:00,1242.6,1243.45,1236.25,1241.5,829395,83.14141052821012,1240.0685714285717,-1.0486424669681327,,,,,,"nan,nan,nan","nan,nan,nan",,
89,2020-04-20 15:15:00,1241.5,1251.0,1241.5,1243.8,910537,83.76741422419933,1243.2271428571428,0.6260036959892119,,,,,,"nan,nan,nan","nan,nan,nan",,
88,2020-04-21 09:15:00,1211.0,1212.7,1190.0,1194.7,1133472,45.189845281399165,1238.17,-38.57756894280016,,,,,,"nan,nan,nan","nan,nan,nan",,
87,2020-04-21 09:30:00,1195.06,1206.78,1192.32,1202.06,969618,48.98263508891769,1232.3357142857144,3.792789807518524,,,,,,"nan,nan,nan","nan,nan,nan",,
86,2020-04-21 09:45:00,1202.0,1202.3,1194.35,1195.7,691769,46.01916552538588,1224.0857142857144,-2.9634695635318096,,,,,,"nan,nan,nan","nan,nan,nan",,
85,2020-04-21 10:00:00,1196.0,1197.9,1191.0,1195.0,616003,45.691508540260955,1216.437142857143,-0.3276569851249249,,,,,,"nan,nan,nan","nan,nan,nan",,
84,2020-04-21 10:15:00,1195.4,1198.5,1193.3,1196.4,334923,46.51177240114725,1209.8800000000003,0.8202638608862927,,,,,,"nan,nan,nan","nan,nan,nan",,
83,2020-04-21 10:30:00,1196.35,1203.58,1193.63,1202.6,533940,50.10582185703988,1204.3228571428574,3.5940494558926304,,,,,,"nan,nan,nan","nan,nan,nan",,
82,2020-04-21 10:45:00,1202.1,1206.5,1200.55,1203.2,690919,50.45278975301933,1198.5228571428577,0.34696789597945354,,,,,,"nan,nan,nan","nan,nan,nan",,
81,2020-04-21 11:00:00,1203.2,1205.45,1200.5,1201.15,450989,49.1940405515645,1199.444285714286,-1.2587492014548332,,,,,,"nan,nan,nan","nan,nan,nan",,
80,2020-04-21 11:15:00,1201.15,1201.9,1196.5,1198.75,412717,47.69380966968941,1198.971428571429,-1.5002308818750905,1259.6461284317872,1218.0520000000001,1176.457871568213,,,"nan,nan,1259.6461284317872","nan,nan,1176.457871568213",,
79,2020-04-21 11:30:00,1198.84,1199.75,1194.45,1195.34,393683,45.56749010674214,1198.9200000000003,-2.126319562947266,1259.9670117594264,1217.2040000000002,1174.440988240574,0.0,-2.0,"nan,1259.6461284317872,1259.9670117594264","nan,1176.457871568213,1174.440988240574",,
78,2020-04-21 11:45:00,1195.45,1200.55,1195.0,1197.4,282738,47.10177203354949,1199.2628571428575,1.5342819268073455,1259.9633323166631,1216.2915,1172.619667683337,-0.0,-2.0,"1259.6461284317872,1259.9670117594264,1259.9633323166631","1176.457871568213,1174.440988240574,1172.619667683337",2.7585331758569396,
